,menu_id,r_id,f_id,cuisine,price
205,mn186030,95663,fd669322,"Street Food,Desserts",70.0
206,mn189899,340368,fd0,"Indian,Continental",80.0
207,mn189899,340368,fd669322,"Indian,Continental",80.0
208,mn192632,36340,fd0,Street Food,99.0
209,mn192632,36340,fd669322,Street Food,99.0
210,mn192931,504989,fd0,"Beverages,Fast Food",80.0
211,mn192931,504989,fd669322,"Beverages,Fast Food",80.0
212,mn194283,50581,fd0,North Indian,55.0
213,mn194283,50581,fd669322,North Indian,55.0
214,mn194369,524212,fd0,"Fast Food,Pizzas",99.0
215,mn194369,524212,fd669322,"Fast Food,Pizzas",99.0
216,mn200446,248030,fd0,"Pizzas,Pastas",175.0
217,mn200446,248030,fd669322,"Pizzas,Pastas",175.0
218,mn200573,248030,fd0,"Pizzas,Pastas",175.0
219,mn200573,248030,fd669322,"Pizzas,Pastas",175.0
220,mn203656,337247,fd0,"North Indian,Snacks",55.0
221,mn203656,337247,fd669322,"North Indian,Snacks",55.0
222,mn207012,253531,fd0,Beverages,60.0
223,mn207012,253531,fd669322,Beverages,60.0
224,mn207089,504350,fd0,"Fast Food,Chinese",130.0
225,mn207089,504350,fd669322,"Fast Food,Chinese",130.0
226,mn212339,382302,fd0,Snacks,50.0
227,mn212339,382302,fd669322,Snacks,50.0
228,mn212532,489818,fd0,"Snacks,Fast Food",50.0
229,mn212532,489818,fd669322,"Snacks,Fast Food",50.0
230,mn213298,487880,fd0,"Fast Food,Italian",50.0
231,mn213298,487880,fd669322,"Fast Food,Italian",50.0
232,mn213547,480794,fd0,"North Indian,Fast Food",100.0
233,mn213547,480794,fd669322,"North Indian,Fast Food",100.0
234,mn215672,546367,fd0,"Fast Food,Snacks",139.0
235,mn215672,546367,fd669322,"Fast Food,Snacks",139.0
236,mn217099,243905,fd0,"Beverages,Chaat",95.0
237,mn217099,243905,fd669322,"Beverages,Chaat",95.0
238,mn217234,243905,fd0,"Beverages,Chaat",95.0
239,mn217234,243905,fd669322,"Beverages,Chaat",95.0
240,mn218180,327379,fd0,"Beverages,Pizzas",112.0
241,mn218180,327379,fd669322,"Beverages,Pizzas",112.0
242,mn218272,327379,fd0,"Beverages,Pizzas",80.0
243,mn218272,327379,fd669322,"Beverages,Pizzas",80.0
244,mn218298,509078,fd0,"Fast Food,American",90.0
245,mn218298,509078,fd669322,"Fast Food,American",90.0
246,mn222567,226063,fd0,"American,Indian",90.0
247,mn222567,226063,fd669322,"American,Indian",90.0
248,mn224454,521333,fd0,"Fast Food,North Indian",109.0
249,mn224454,521333,fd669322,"Fast Food,North Indian",109.0
250,mn226727,312138,fd0,"Pizzas,Indian",50.0
