order_item_id,order_id,r_id,f_id,price,quantity,line_amount
76,35,477530,fd485834,32,1,32
77,35,477530,fd615808,81,1,81
78,36,254364,fd2694,139,2,278
79,36,254364,fd926808,151,1,151
80,37,433669,fd97307,68,1,68
81,37,433669,fd6453,99,1,99
82,38,483755,fd20237,94,1,94
83,38,483755,fd657529,208,1,208
84,39,55633,fd750595,189,1,189
85,39,55633,fd365965,104,1,104
86,39,55633,fd54020,67,1,67
87,40,572677,fd300976,156,1,156
88,40,572677,fd232995,112,1,112
89,41,261729,fd505038,76,1,76
90,41,261729,fd840756,85,1,85
91,42,238769,fd548242,320,1,320
92,42,238769,fd548250,200,3,600
93,43,404680,fd523826,202,1,202
94,43,404680,fd315252,112,1,112
95,44,94193,fd215676,81,1,81
96,44,94193,fd917781,114,2,228
97,44,94193,fd357295,196,1,196
98,45,43727,fd140333,132,1,132
99,45,43727,fd664282,156,1,156
100,46,204348,fd794575,329,1,329
101,46,204348,fd666741,245,2,490
102,47,146481,fd880766,79,1,79
103,47,146481,fd15135,168,3,504
104,47,146481,fd15135,168,3,504
105,47,146481,fd880766,79,1,79
106,48,487445,fd3848,120,2,240
107,49,244228,fd1010573,50,1,50
108,50,395577,fd478786,40,2,80
109,50,395577,fd74059,46,1,46
110,51,243736,fd734855,164,1,164
111,51,243736,fd895094,214,1,214
112,51,243736,fd636055,129,1,129
113,51,243736,fd14026,210,1,210
114,51,243736,fd925025,155,1,155
115,52,381270,fd589084,113,1,113
116,52,381270,fd510807,128,1,128
117,52,381270,fd114256,175,2,350
118,53,370341,fd1002446,86,1,86
119,53,370341,fd1002446,86,2,172
120,54,468270,fd379972,105,1,105
121,54,468270,fd247952,167,2,334
122,54,468270,fd55538,129,2,258
123,55,495655,fd83471,73,1,73
124,56,466318,fd542409,144,1,144
125,57,288399,fd650032,311,1,311
126,57,288399,fd450400,302,1,302
127,58,259205,fd364676,195,2,390
128,58,259205,fd270507,123,2,246
129,58,259205,fd51179,223,2,446
130,58,259205,fd604485,265,1,265
131,58,259205,fd787144,161,1,161
132,59,54977,fd755844,200,1,200
133,59,54977,fd755844,200,1,200
134,60,446568,fd803446,25,1,25
135,60,446568,fd803451,381,2,763
136,61,382780,fd91228,209,1,209
137,61,382780,fd288805,110,1,110
138,62,441738,fd1026588,295,2,590
139,62,441738,fd435233,326,1,326
140,63,15713,fd90025,171,1,171
141,64,124209,fd647484,114,1,114
142,65,58022,fd611932,244,2,488
143,66,576899,fd202551,85,2,170
144,66,576899,fd202551,85,2,170
145,67,111411,fd942950,77,1,77
146,67,111411,fd489018,61,1,61
147,67,111411,fd264182,76,1,76
148,68,333843,fd43665,120,2,240
149,68,333843,fd43665,120,3,360
150,69,484971,fd518209,116,1,116
151,69,484971,fd312866,153,1,153
152,70,377523,fd1229,25,1,26
153,70,377523,fd748277,42,1,43
154,71,243441,fd15241,450,1,450
155,71,243441,fd36213,210,1,210
156,72,548823,fd348396,119,1,119
157,73,16374,fd37379,133,1,133
158,73,16374,fd886952,135,1,135
159,73,16374,fd487391,67,1,67
160,74,429425,fd328982,162,1,162
161,74,429425,fd354258,57,1,57
162,75,352907,fd58851,217,2,434
163,76,72165,fd419075,157,2,314
164,77,465861,fd950310,69,1,69
165,78,148216,fd222665,165,1,165
166,79,182734,fd464103,72,1,72
167,80,566203,fd868106,97,1,97
168,80,566203,fd276896,100,1,100
169,81,335177,fd122397,50,1,50
170,82,513194,fd415359,147,1,147
171,83,379393,fd439428,233,1,233
172,83,379393,fd264080,240,1,240
173,83,379393,fd629511,213,1,213
174,84,461882,fd1012018,169,2,338
175,84,461882,fd846198,227,1,227
176,84,461882,fd112358,146,1,146
177,84,461882,fd842026,188,1,188
178,85,208628,fd15899,75,1,75
179,86,452971,fd192961,69,1,69
180,87,142005,fd710216,168,1,168
181,88,156122,fd153814,285,2,570
182,89,65168,fd513827,216,1,216
183,89,65168,fd199595,244,1,244
184,89,65168,fd341292,221,1,221
185,89,65168,fd765135,181,2,362
186,90,376052,fd13632,71,2,142
187,91,143980,fd791470,165,2,330
188,91,143980,fd1023311,138,1,138
189,91,143980,fd78025,173,1,173
190,92,548453,fd277093,106,1,106
191,92,548453,fd223678,65,1,65
192,93,173117,fd72377,155,1,155
193,93,173117,fd886585,53,1,53
194,93,173117,fd7258,136,1,136
195,94,35053,fd514226,77,1,77
196,94,35053,fd8138,28,1,28
197,94,35053,fd568191,51,2,102
198,95,96043,fd497781,313,1,313
199,96,442035,fd905591,86,2,172
200,96,442035,fd905591,86,2,172
201,96,442035,fd103166,75,1,75
202,97,245136,fd181996,74,1,74
203,98,451455,fd17885,166,2,332
204,98,451455,fd214059,89,2,178
205,98,451455,fd71913,162,2,324
206,98,451455,fd680091,221,2,442
207,99,383712,fd636913,95,1,95
208,99,383712,fd636913,95,1,95
209,100,473204,fd169422,25,2,50
210,101,24417,fd221934,267,1,267
211,102,28981,fd326672,95,1,95
212,102,28981,fd326623,330,1,330
213,103,567953,fd902149,239,1,239
214,103,567953,fd153209,237,1,237
215,104,16511,fd343390,54,1,54
216,104,16511,fd562473,96,1,96
217,104,16511,fd1042948,79,1,79
218,105,436125,fd874391,145,1,145
219,106,1125,fd935498,295,1,295
220,106,1125,fd234236,164,1,164
221,107,40359,fd145727,151,2,302
222,107,40359,fd145727,151,1,151
223,107,40359,fd431781,100,1,100
224,108,128810,fd900376,146,1,146
225,108,128810,fd877609,145,1,145
226,108,128810,fd103344,137,2,274
227,109,145671,fd17729,76,2,152
228,109,145671,fd991424,54,2,108
229,110,529310,fd153403,233,1,233
230,111,509897,fd1032720,74,2,148
231,112,27481,fd770528,134,3,402
232,112,27481,fd422707,160,2,320
233,112,27481,fd560250,109,2,218
234,112,27481,fd320597,135,1,135
235,113,24670,fd166053,293,1,293
236,114,346200,fd862726,279,1,279
237,114,346200,fd961265,251,1,251
238,114,346200,fd862726,279,2,558
239,115,262078,fd1005421,78,3,234
240,116,470595,fd514953,160,1,160
241,116,470595,fd514944,260,1,260
242,116,470595,fd514953,160,1,160
243,117,337775,fd249302,56,1,56
244,117,337775,fd2020,144,1,144
245,117,337775,fd602043,91,1,91
246,118,345639,fd657302,63,1,63
247,119,523084,fd774337,115,1,115
248,120,552002,fd755644,92,1,92
249,120,552002,fd62942,127,3,381
250,121,442044,fd774115,175,1,175
